About,Info
Community,Community
Enterprise,Enterprise
America,Amerika
Europe,Europa
Asia / Pacific,Asiatisch-pazifischer Raum
Other,Sonstige
Canada,Kanada
Canada (French),Kanada (französischsprachig)
United States,USA
Austria,Österreich
Belgium (Dutch),Belgien (Flämisch)
Belgium (French),Belgien (Französisch)
France,Frankreich
Germany,Deutschland
Ireland,Irland
Italy,Italien
Netherlands,Niederlande
Poland,Polen
Switzerland,Schweiz
Sweden,Schweden
Spain,Spanien
United Kingdom,Großbritannien
Australia,Australien
Hong Kong,Hongkong
India,Indien
Malaysia,Malaysia
Philippines,Philippinen
Singapore,Singapur
System,System
Add new listing,Neues Angebot hinzufügen
Delete existing listing,Vorhandenes Angebot löschen
Add product to listing,Produkt zum Angebot hinzufügen
Delete item from listing,Artikel aus Angebot löschen
Remove item from Channel,Artikel aus Channel entfernen
Add new product to magento store,Neues Produkt zum Magento-Shop hinzufügen
Delete existing product from magento store,Vorhandenes Produkt aus Magento-Shop löschen
Change of product price in magento store,Produktpreis im Magento-Shop ändern
Change of product special price in magento store,Produkt-Sonderpreis im Magento-Shop ändern
Change of product qty in magento store,Produktmenge im Magento-Shop ändern
Change of product stock availability in magento store,Produktverfügbarkeit im Magento-Shop ändern
Change of product status in magento store,Produktstatus im Magento-Shop ändern
List item on Channel,Artikel im Channel einstellen
Relist item on Channel,Artikel im Channel wiedereinstellen
Revise item on Channel,Artikel im Channel bearbeiten
Stop item on Channel,Artikel im Channel anhalten
Stop on Channel / Remove from Listing,Im Channel anhalten/Aus Angebot entfernen
Remove from Channel & Listing,Aus Channel und Angebot entfernen
Change of product custom attribute in magento store,Benutzerdefiniertes Attribut im Magento-Shop ändern
Relist product on Channel,Produkt im Channel wiedereinstellen
Stop product on Channel,Produkt im Channel anhalten
Default Synchronization,Standard-Synchronisierung
Templates Synchronization,Vorlagen synchronisieren
Orders Synchronization,Bestellungen synchronisieren
Marketplaces Synchronization,Marktplätze synchronisieren
3rd Party Listings Synchronization,Angebote von Drittanbietern synchronisieren
Messages Synchronization,Nachrichten synchronisieren
"The ""Categories Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...",Die Aktion „Kategorien synchronisieren“ für Marktplatz „%s“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie...
Magento Order was not created. Reason: Magento Order creation is disabled in Account settings.,Die Magento-Bestellung wurde nicht erstellt. Grund: Die Erstellung von Magento-Bestellungen ist in den Kontoeinstellungen deaktiviert.
Magento Order was not created. Reason: Magento Order creation for items listed by M2E Pro is disabled in Account settings.,Die Magento-Bestellung wurde nicht erstellt. Grund: Die Erstellung von Magento-Bestellungen für mit M2E Pro eingestellte Artikel ist in den Kontoeinstellungen deaktiviert.
Magento Order was not created. Reason: Magento Order creation for items listed by 3rd party software is disabled in Account settings.,Die Magento-Bestellung wurde nicht erstellt. Grund: Magento-Bestellungen für mit Drittanbieter-Software eingestellte Artikel sind in den Kontoeinstellungen deaktiviert.
Magento Order is already created for this %s Order. Press Create Order button to create new one.,"Die Magento-Bestellung wurde bereits für diese %-Bestellung erstellt. Klicken Sie auf „Bestellung erstellen“, um eine neue Bestellung zu erstellen."
Payment Status was not updated to Paid. Magento Order #%order_id% have to be cancelled according to Account's Automatic Cancellation setting.,Der Zahlungsstatus wurde nicht auf „bezahlt“ aktualisiert. Die Magento-Bestellung #%order_id% wurde aufgrund der Einstellungen des Mitgliedskontos für die automatische Stornierung abgebrochen.
Magento and M2E Pro has Internet Explorer 7 as minimal browser requirement. Please upgrade your browser.,Sowohl für Magento als auch für M2E Pro müssen Sie mindestens den Internet Explorer 7 als Browser verwenden. Bitte aktualisieren Sie Ihren Browser.
M2E Pro license key validation is failed for this domain. Go to the %slicense page%s.,Der M2E Pro-Lizenzschlüssel konnte für diese Domain nicht validiert werden. Gehen Sie zur %Lizenzseite%s.
M2E Pro license key validation is failed for this IP. Go to the %slicense page%s.,Der M2E Pro-Lizenzschlüssel konnte für diese IP-Adresse nicht validiert werden. Gehen Sie zur %Lizenzseite%s.
M2E Pro license key validation is failed for this base directory. Go to the %slicense page%s.,Der M2E Pro-Lizenzschlüssel konnte für dieses Basisverzeichnis nicht validiert werden. Gehen Sie zur %Lizenzseite%s.
M2E Pro module requires activation. Go to the %slicense page%s.,Das M2E Pro-Modul muss aktiviert werden. Gehen Sie zur %Lizenzseite%s.
"M2E Pro module license suspended for ""%s"" component. Go to the %slicense page%s.",Die Lizenz für das M2E Pro-Modul wurde für die Komponente „%s“ gesperrt. Gehen Sie zur %Lizenzseite%s.
"M2E Pro module license closed for ""%s"" component. Go to the %slicense page%s.",Die Lizenz für das M2E Pro-Modul wurde für die Komponente „%s“ dauerhaft gesperrt. Gehen Sie zur %Lizenzseite%s.
"M2E Pro module license has expired for ""%s"" component. Go to the %slicense page%s.",Die Lizenz für das M2E Pro-Modul für die Komponente „%s“ ist abgelaufen. Gehen Sie zur %Lizenzseite%s.
"M2E Pro module is running under Trial License for ""%s"" component, that will expire on %s.","Das M2E Pro-Modul wird mit einer Testlizenz für die Komponente „%s“ ausgeführt, die am %s abläuft."
"M2E Pro module license will expire on %s for ""%s"" component. Go to the %slicense page%s.",Die Lizenz für das M2E Pro-Modul läuft am %s für die Komponente „%s“ ab. Gehen Sie zur %Lizenzseite%s.
No matches were found. Please change the mapping attributes in <strong>Configuration > Account > 3rd Party Listings</strong> or try to map manually.,"Keine Treffer gefunden. Ändern Sie die Zuordnungsattribute in <strong>Konfiguration > Konto > Angebote von Drittanbietern</strong> oder versuchen Sie, die Zuordnung manuell zu erstellen."
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" is in data processing mode. Please wait...",Die Aktion „Kategorien synchronisieren“ für Marktplatz „%mrk%“ befindet sich im Datenverarbeitungsmodus. Bitte warten Sie...
"The ""Parts Compatibility Synchronization"" action for ""%mrk%"" marketplace has been successfully completed.",Die Aktion „Kompatibilität von Ersatzteilen synchronisieren“ für Marktplatz „%mrk%“ wurde erfolgreich abgeschlossen.
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"Bitte beachten Sie: Wenn Sie ein Konto löschen, werden alle damit verbundenen Informationen vom M2E Pro-Server gelöscht. Dies kann zu einer fehlerhaften Ausführung und Verwendung aller Kopien dieses Kontos führen."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of values for each option more than 30.,"Das Produkt wird als einfaches Produkt eingestellt, da Artikel mit Varianten für dieses Angebot nicht unterstützt werden. Grund: Es sind mehr als 30 Werte für jede Option vorhanden."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of options more than 5.,"Das Produkt wird als einfaches Produkt eingestellt, da Artikel mit Varianten für dieses Angebot nicht unterstützt werden. Grund: Es sind mehr als 5 Optionen vorhanden."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 120.,"Das Produkt wird als einfaches Produkt eingestellt, da Artikel mit Varianten für dieses Angebot nicht unterstützt werden. Grund: Die Summe der Stückzahlen aller möglichen Produktoptionen beträgt mehr als 120."
Map listing to magento product,Angebot Magento-Produkt zuordnen
Unmap listing from magento product,Zuordnung des Angebots zu Magento-Produkt aufheben
Move to existing M2E listing,In vorhandenes M2E-Angebot verschieben
Change of product special price from date in magento store,Startdatum eines Produkt-Sonderpreises im Magento-Shop ändern
Change of product special price to date in magento store,Enddatum eines Produkt-Sonderpreises im Magento-Shop ändern
Change item status on channel,Artikelstatus im Channel ändern
Revise product,Produkt bearbeiten
Relist product,Produkt wiedereinstellen
Stop product,Produkt anhalten
Actions,Nächste Schritte
Delete,Löschen
Are you sure?,Sind Sie sicher?
"Manage DB Table ""%s""",Datenbanktabelle „%s“ verwalten
Back,Zurück
Clear Table,Tabelle löschen
Refresh,Aktualisieren
unlimited,unbegrenzt
enabled,aktiviert
disabled,deaktiviert
General,Allgemeines
Support,Kundenservice
Video Tutorials,Video-Infotour
Documentation,Dokumentation
ID,Artikelnr.
Title,Artikelbezeichnung
Channel,Channel
Creation Date,Erstellungsdatum
Update Date,Aktualisierungsdatum
Edit,Bearbeiten
All Accounts,Alle Mitgliedskonten
Accounts,Mitgliedskonten
General Templates,Allgemeine Vorlagen
Add Account,Mitgliedskonto hinzufügen
Analytics,Analyse
At least 1 channel should be enabled.,Es muss mindestens 1 Channel aktiviert sein.
Cancel,Abbrechen
Save,Speichern
Manage ESS Config Data,ESS-Konfigurationsdaten verwalten
Manage M2ePro Config Data,M2ePro-Konfigurationsdaten verwalten
Group,Gruppe
Key,Schlüssel
Value,Wert
Notice,Hinweis
ESS Config Data,ESS-Konfigurationsdaten
M2ePro Config Data,M2ePro-Konfigurationsdaten
Enter,Eingeben
Change,Ändern
Confirm,Bestätigen
License,Lizenz
Complete This Step,Diesen Schritt abschließen
Run Now,Jetzt ausführen
Clear All,Alles löschen
View Log,Protokoll anzeigen
Logs Clearing,Protokolle löschen
Run Enabled Now,Aktivierte jetzt ausführen
Clear All Logs,Alle Protokolle löschen
Save Settings,Einstellungen speichern
Action,Aktion
Listing ID,Angebotsnummer
Listing Title,Artikelbezeichnung
Product ID,Produkt-ID
Product Title,Produktbezeichnung
