About,Acerca de
Community,Comunidad
Enterprise,Enterprise
America,América
Europe,Europa
Asia / Pacific,Asia / Pacífico
Other,Otro
Canada,Canadá
Canada (French),Canadá (francés)
United States,Estados Unidos
Austria,Austria
Belgium (Dutch),Bélgica (neerlandés)
Belgium (French),Bélgica (francés)
France,Francia
Germany,Alemania
Ireland,Irlanda
Italy,Italia
Netherlands,Países Bajos
Poland,Polonia
Switzerland,Suiza
Sweden,Suecia
Spain,España
United Kingdom,Reino Unido
Australia,Australia
Hong Kong,Hong Kong
India,India
Malaysia,Malasia
Philippines,Filipinas
Singapore,Singapur
System,Sistema
Add new listing,Añadir anuncio nuevo
Delete existing listing,Eliminar anuncio existente
Add product to listing,Añadir producto al anuncio
Delete item from listing,Eliminar artículo del anuncio
Remove item from Channel,Eliminar artículo del canal
Add new product to magento store,Añadir producto nuevo a la tienda Magento
Delete existing product from magento store,Eliminar producto existente de la tienda Magento
Change of product price in magento store,Cambio de precio de producto en tienda Magento
Change of product special price in magento store,Cambio de precio especial de producto en tienda Magento
Change of product qty in magento store,Cambio de cantidad de producto en tienda Magento
Change of product stock availability in magento store,Cambio de disponibilidad de existencias de producto en tienda Magento
Change of product status in magento store,Cambio de estado de producto en tienda Magento
List item on Channel,Poner en venta el artículo en el canal
Relist item on Channel,Volver a poner en venta el artículo en el canal
Revise item on Channel,Revisar artículo en el canal
Stop item on Channel,Detener artículo en el canal
Stop on Channel / Remove from Listing,Detener en el canal / Eliminar del anuncio
Remove from Channel & Listing,Eliminar del canal y del anuncio
Change of product custom attribute in magento store,Cambio de atributo personalizado de producto en tienda Magento
Relist product on Channel,Volver a poner en venta el producto en el canal
Stop product on Channel,Detener producto en el canal
Default Synchronization,Sincronización predeterminada
Templates Synchronization,Sincronización de plantillas
Orders Synchronization,Sincronización de pedidos
Marketplaces Synchronization,Sincronización de mercados
3rd Party Listings Synchronization,Sincronización de anuncios externos
Messages Synchronization,Sincronización de mensajes
"The ""Categories Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...","La acción ""Sincronización de categorías"" del mercado ""%s"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
Magento Order was not created. Reason: Magento Order creation is disabled in Account settings.,No se ha creado el pedido de Magento. Motivo: la creación de pedidos de Magento está desactivada en la Configuración de tu cuenta.
Magento Order was not created. Reason: Magento Order creation for items listed by M2E Pro is disabled in Account settings.,No se ha creado el pedido de Magento. Motivo: la creación de pedidos de Magento para los artículos puestos en venta por M2E Pro está desactivada en la Configuración de tu cuenta.
Magento Order was not created. Reason: Magento Order creation for items listed by 3rd party software is disabled in Account settings.,No se ha creado el pedido de Magento. Motivo: la creación de pedidos de Magento para los artículos puestos en venta por software de terceros está desactivada en la Configuración de tu cuenta.
Magento Order is already created for this %s Order. Press Create Order button to create new one.,El pedido de Magento ya se ha creado para este pedido de %s. Pulsa el botón Crear pedido para crear uno nuevo.
Payment Status was not updated to Paid. Magento Order #%order_id% have to be cancelled according to Account's Automatic Cancellation setting.,El estado del pago no se ha actualizado a Pagado. El pedido de Magento #%order_id% se ha tenido que cancelar porque así lo indica la configuración de Cancelación automática de la cuenta.
Magento and M2E Pro has Internet Explorer 7 as minimal browser requirement. Please upgrade your browser.,Para usar Magento y M2E Pro es necesario disponer de Internet Explorer 7 o una versión de navegador posterior. Actualiza tu navegador.
M2E Pro license key validation is failed for this domain. Go to the %slicense page%s.,La validación de la clave de licencia de M2E Pro ha fallado para este dominio. Ve a la %spágina de licencia%s.
M2E Pro license key validation is failed for this IP. Go to the %slicense page%s.,La validación de la clave de licencia de M2E Pro ha fallado para esta IP. Ve a la %spágina de licencia%s.
M2E Pro license key validation is failed for this base directory. Go to the %slicense page%s.,La validación de la clave de licencia de M2E Pro ha fallado para este directorio base. Ve a la %spágina de licencia%s.
M2E Pro module requires activation. Go to the %slicense page%s.,El módulo M2E Pro requiere activación. Ve a la %spágina de licencia%s.
"M2E Pro module license suspended for ""%s"" component. Go to the %slicense page%s.","La licencia del módulo M2E Pro está suspendida para el componente ""%s"". Ve a la %spágina de licencia%s."
"M2E Pro module license closed for ""%s"" component. Go to the %slicense page%s.","La licencia del módulo M2E Pro está cancelada para el componente ""%s"". Ve a la %spágina de licencia%s."
"M2E Pro module license has expired for ""%s"" component. Go to the %slicense page%s.","La licencia del módulo M2E Pro ha caducado para el componente ""%s"". Ve a la %spágina de licencia%s."
"M2E Pro module is running under Trial License for ""%s"" component, that will expire on %s.","El módulo M2E Pro se está ejecutando con la licencia de prueba para el componente ""%s"", que caducará el %s."
"M2E Pro module license will expire on %s for ""%s"" component. Go to the %slicense page%s.","La licencia del módulo M2E Pro caducará el %s para el componente ""%s"". Ve a la %spágina de licencia%s."
No matches were found. Please change the mapping attributes in <strong>Configuration > Account > 3rd Party Listings</strong> or try to map manually.,No se han encontrado coincidencias. Cambia los atributos de asignación en <strong>Configuración > Cuenta > Anuncios externos</strong> o intenta hacer el mapeado manualmente.
"The ""Categories Synchronization"" action for marketplace: ""%mrk%"" is in data processing mode. Please wait...","La acción ""Sincronización de categorías"" del mercado ""%mrk%"" se encuentra en estado de procesamiento de datos. Por favor, espera..."
"The ""Parts Compatibility Synchronization"" action for ""%mrk%"" marketplace has been successfully completed.","La acción ""Sincronización de compatibilidad de piezas"" del mercado ""%mrk%"" ha finalizado correctamente."
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"Ten cuidado. Al eliminar la cuenta, eliminas toda la información que contiene del servidor M2E Pro. Esto provocará un funcionamiento inadecuado en las copias de todas las cuentas."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of values for each option more than 30.,"El producto se pondrá en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. Motivo: el número de valores para cada opción es superior a 30."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:number of options more than 5.,"El producto se pondrá en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. Motivo: el número de opciones es superior a 5."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 120.,"El producto se pondrá en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. Motivo: la suma de las cantidades de todas las opciones de productos posibles es superior a 120."
Map listing to magento product,Asignar anuncio al producto de Magento
Unmap listing from magento product,Quitar asignación de anuncio del producto de Magento
Move to existing M2E listing,Mover a un anuncio de M2E existente
Change of product special price from date in magento store,Cambio de fecha de inicio de precio especial de producto en tienda Magento
Change of product special price to date in magento store,Cambio de fecha de finalización de precio especial de producto en tienda Magento
Change item status on channel,Cambio de estado del artículo en el canal
Revise product,Modificar producto
Relist product,Volver a poner en venta el producto
Stop product,Detener producto
Actions,Acciones
Delete,Eliminar
Are you sure?,¿Estás seguro?
"Manage DB Table ""%s""","Gestionar la tabla ""%s"" de la base de datos"
Back,Atrás
Clear Table,Borrar tabla
Refresh,Actualizar
unlimited,ilimitada
enabled,activada
disabled,desactivada
General,General
Support,Asistencia
Video Tutorials,Tutoriales en vídeo
Documentation,Documentación
ID,Identificador
Title,Título
Channel,Canal
Creation Date,Fecha de creación
Update Date,Fecha de actualización
Edit,Modificar
All Accounts,Todas las cuentas
Accounts,Mi cuenta
General Templates,Plantillas generales
Add Account,Añadir cuenta
Analytics,Analítica
At least 1 channel should be enabled.,Al menos un canal debe estar activado.
Cancel,Cancelar
Save,Guardar
Manage ESS Config Data,Gestionar los datos de configuración de ESS
Manage M2ePro Config Data,Gestionar los datos de configuración de M2E Pro
Group,Grupo
Key,Clave
Value,Valor
Notice,Aviso
ESS Config Data,Datos de configuración de ESS
M2ePro Config Data,Datos de configuración de M2E Pro
Enter,Introducir
Change,Cambiar
Confirm,Confirmar
License,Licencia
Complete This Step,Finalizar este paso
Run Now,Ejecutar ahora
Clear All,Borrar todo
View Log,Ver registro
Logs Clearing,Borrado de registros
Run Enabled Now,Ejecutar activado ahora
Clear All Logs,Borrar todos los registros
Save Settings,Guardar configuración
Action,Acción
Listing ID,Número de anuncio
Listing Title,Título del anuncio
Product ID,Identificador de producto
Product Title,Título del producto
Description,Descripción
Run Mode,Modo de ejecución
Type,Tipo
Priority,Prioridad
Log For%s Listing,Registro del anuncio de %s
Listings Log,Registro de anuncios
Listings,Anuncios
Listing Settings,Configuración de anuncio
Listing Items,Artículos de los anuncios
Clearing,Borrando
Show General Log,Mostrar registro general
Product Title / SKU,Título de producto/Número de referencia
Attrib. Set Name,Nombre del conjunto de atributos
SKU,Nº de referencia
Continue,Continuar
Total Items,Total de artículos
Source,Origen
Products List,Lista de productos
Categories,Categorías
Store View,Vista de la tienda
"Listings which meet searching criteria (Attribute Set, Marketplace, Account) were not found.","No se han encontrado anuncios que cumplan los criterios de búsqueda (conjunto de atributos, mercado o cuenta)."
Identifier,Identificador
Product Name,Nombre del producto
N/A,N/D
Log For%s 3rd Party Listing,Registro del anuncio externo de %s
3rd Party Listings Log,Registro de anuncios externos
3rd Party Listings,Anuncios externos
Map To This Product,Asignar a este producto
Advanced Search,Búsqueda avanzada
Moving eBay Items.,Moviendo los artículos de eBay.
Products failed to move,No se han podido mover los artículos
Product(s) was successfully moved.,Los productos se han movido correctamente.
"Products were not moved. <a href=""%s"">View log</a> for details.","Los productos no se han movido. <a href=""%s"">Consulta el registro</a> para más información."
"Some of the products were not moved. <a href=""%s"">View log</a> for details.","Algunos de los productos no se han movido. <a href=""%s"">Consulta el registro</a> para más información."
Product was successfully mapped.,El producto se ha asignado correctamente.
Mapping Product,Asignación de producto
Product does not exist.,El producto no existe.
"Current eBay version only supports simple products in mapping. Please, choose simple product.",La versión actual de eBay solo permite la asignación de productos simples. Elige un producto simple.
Processing %s product(s).,Procesando %s producto(s).
Task completed. Please wait ...,"Tarea finalizada. Por favor, espera..."
"""%s"" task has successfully completed.","La tarea ""%s"" ha finalizado correctamente."
"""%s"" task has completed with warnings. <a href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con advertencias. <a href=""%s"">Consulta el registro</a> para más información."
"""%s"" task has completed with errors. <a href=""%s"">View log</a> for details.","La tarea ""%s"" se ha completado con errores. <a href=""%s"">Consulta el registro</a> para más información."
Sending %s product(s) data on eBay.,Enviando datos de %s producto(s) de eBay.
View All Product Log.,Ver todo el registro de productos.
The listing was locked by another process. Please try again later.,Otro proceso ha bloqueado el anuncio. Inténtalo de nuevo más tarde.
Listing is empty.,El anuncio está vacío.
Listing All Items On eBay,Poniendo en venta todos los artículos en eBay
Listing Selected Items On eBay,Poniendo en venta los artículos seleccionados en eBay
