About,A propos
Community,Communauté
Enterprise,Entreprise
America,Amérique
Europe,Europe
Asia / Pacific,Asie/Pacifique
Other,Autre
Canada,Canada
Canada (French),Canada (français)
United States,Etats-Unis
Austria,Autriche
Belgium (Dutch),Belgique (néerlandais)
Belgium (French),Belgique (français)
France,France
Germany,Allemagne
Ireland,Irlande
Italy,Italie
Netherlands,Pays-Bas
Poland,Pologne
Switzerland,Suisse
Sweden,Suède
Spain,Espagne
United Kingdom,Royaume-Uni
Australia,Australie
Hong Kong,Hong Kong
India,Inde
Malaysia,Malaisie
Philippines,Philippines
Singapore,Singapour
System,Système
Add new listing,Ajouter une nouvelle annonce
Delete existing listing,Supprimer une annonce existante
Add product to listing,Ajouter un produit à l'annonce
Delete item from listing,Supprimer un objet de l'annonce
Remove item from Channel,Supprimer un objet du canal
Add new product to magento store,Ajouter un nouveau produit à la boutique Magento
Delete existing product from magento store,Supprimer un produit existant à la boutique Magento
Change of product price in magento store,Modifier le prix du produit dans la boutique Magento
Change of product special price in magento store,Modifier le prix spécial du produit dans la boutique Magento
Change of product qty in magento store,Modifier la quantité du produit dans la boutique Magento
Change of product stock availability in magento store,Modifier la disponibilité du produit dans la boutique Magento
Change of product status in magento store,Modifier le statut du produit dans la boutique Magento
List item on Channel,Mettre l'objet en vente sur le canal
Relist item on Channel,Remettre l'objet en vente sur le canal
Revise item on Channel,Modifier l'annonce sur le canal
Stop item on Channel,Arrêter la vente de l'objet sur le canal
Stop on Channel / Remove from Listing,Arrêter la vente sur le canal/Supprimer de l'annonce
Remove from Channel & Listing,Supprimer du canal et de l'annonce
Change of product custom attribute in magento store,Modifier une caractéristique personnalisée du produit dans la boutique Magento
Relist product on Channel,Remettre le produit en vente sur le canal
Stop product on Channel,Arrêter la vente du produit sur le canal
Default Synchronization,Synchronisation par défaut
Templates Synchronization,Synchronisation des modèles
Orders Synchronization,Synchronisation des commandes
Marketplaces Synchronization,Synchronisation des places de marché
3rd Party Listings Synchronization,Synchronisation des annonces tierces
Messages Synchronization,Synchronisation des messages
"The ""Categories Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...",La tâche « Synchronisation des catégories » pour la place de marché %s est en cours de traitement. Veuillez patienter...
Magento Order was not created. Reason: Magento Order creation is disabled in Account settings.,La commande Magento n'a pas été créée. Motif : la création de commandes Magento est désactivée dans les paramètres du compte.
