About,Informazioni
Community,Community
Enterprise,Azienda
America,America
Europe,Europa
Asia / Pacific,Asia/Pacifico
Other,Altro
Canada,Canada
Canada (French),Canada (francese)
United States,Stati Uniti
Austria,Austria
Belgium (Dutch),Belgio (olandese)
Belgium (French),Belgio (francese)
France,Francia
Germany,Germania
Ireland,Irlanda
Italy,Italia
Netherlands,Paesi Bassi
Poland,Polonia
Switzerland,Svizzera
Sweden,Svezia
Spain,Spagna
United Kingdom,Regno Unito
Australia,Australia
Hong Kong,Hong Kong
India,India
Malaysia,Malaysia
Philippines,Filippine
Singapore,Singapore
System,Sistema
Add new listing,Aggiungi nuova inserzione
Delete existing listing,Elimina inserzione esistente
Add product to listing,Aggiungi prodotto a inserzione
Delete item from listing,Elimina oggetto da inserzione
Remove item from Channel,Rimuovi oggetto da canale
Add new product to magento store,Aggiungi nuovo prodotto a negozio Magento
Delete existing product from magento store,Elimina prodotto esistente da negozio Magento
Change of product price in magento store,Modifica del prezzo del prodotto nel negozio Magento
Change of product special price in magento store,Modifica del prezzo speciale del prodotto nel negozio Magento
Change of product qty in magento store,Modifica della quantità del prodotto nel negozio Magento
Change of product stock availability in magento store,Modifica della disponibilità in magazzino del prodotto nel negozio Magento
Change of product status in magento store,Modifica dello stato del prodotto nel negozio Magento
List item on Channel,Metti in vendita l'oggetto sul canale
Relist item on Channel,Rimetti in vendita l'oggetto sul canale
Revise item on Channel,Modifica l'oggetto sul canale
Stop item on Channel,Blocca l'oggetto sul canale
Stop on Channel / Remove from Listing,Blocca sul canale/Rimuovi dall'inserzione
Remove from Channel & Listing,Rimuovi da canale e inserzione
Change of product custom attribute in magento store,Modifica dell'attributo personalizzato del prodotto nel negozio Magento
Relist product on Channel,Rimetti in vendita il prodotto sul canale
Stop product on Channel,Blocca il prodotto sul canale
Default Synchronization,Sincronizzazione predefinita
Templates Synchronization,Sincronizzazione modelli
Orders Synchronization,Sincronizzazione ordini
Marketplaces Synchronization,Sincronizzazione mercati
3rd Party Listings Synchronization,Sincronizzazione inserzioni di terze parti
Messages Synchronization,Sincronizzazione messaggi
"The ""Categories Synchronization"" action for marketplace: ""%s"" is in data processing mode. Please wait...","L'azione ""Sincronizzazione categorie"" per mercato: ""%s"" è in modalità di elaborazione dati. Attendi..."
Magento Order was not created. Reason: Magento Order creation is disabled in Account settings.,Ordine Magento non creato. Motivo: la creazione dell'ordine Magento è disabilitata nelle impostazioni di account.
Magento Order was not created. Reason: Magento Order creation for items listed by M2E Pro is disabled in Account settings.,Ordine Magento non creato. Motivo: la creazione dell'ordine Magento per oggetti messi in vendita da M2E Pro è disabilitata nelle impostazioni di account.
Magento Order was not created. Reason: Magento Order creation for items listed by 3rd party software is disabled in Account settings.,Ordine Magento non creato. Motivo: la creazione dell'ordine Magento per oggetti messi in vendita da software di terze parti è disabilitata nelle impostazioni di account.
Magento Order is already created for this %s Order. Press Create Order button to create new one.,L'ordine Magento è già creato per questo ordine %s. Premi il pulsante Crea ordine per crearne uno nuovo.
Payment Status was not updated to Paid. Magento Order #%order_id% have to be cancelled according to Account's Automatic Cancellation setting.,Stato del pagamento non aggiornato in Pagato. L'ordine Magento #%order_id% deve essere annullato in base all'impostazione Annullamento automatico dell'account.
Magento and M2E Pro has Internet Explorer 7 as minimal browser requirement. Please upgrade your browser.,Il requisito minimo per il browser con Magento ed M2E Pro è Internet Explorer 7. Aggiorna il browser.
M2E Pro license key validation is failed for this domain. Go to the %slicense page%s.,Convalida della chiave di licenza M2E Pro non riuscita per questo dominio. Vai su %slicense page%s.
M2E Pro license key validation is failed for this IP. Go to the %slicense page%s.,Convalida della chiave di licenza M2E Pro non riuscita per questo IP. Vai su %slicense page%s.
M2E Pro license key validation is failed for this base directory. Go to the %slicense page%s.,Convalida della chiave di licenza M2E Pro non riuscita per questa directory di base. Vai su %slicense page%s.
M2E Pro module requires activation. Go to the %slicense page%s.,Il modulo M2E Pro richiede l'attivazione. Vai su %slicense page%s.
"M2E Pro module license suspended for ""%s"" component. Go to the %slicense page%s.","Licenza del modulo M2E Pro sospesa per il componente ""%s"". Vai su %slicense page%s."
"M2E Pro module license closed for ""%s"" component. Go to the %slicense page%s.","Licenza del modulo M2E Pro chiusa per il componente ""%s"". Vai su %slicense page%s."
"M2E Pro module license has expired for ""%s"" component. Go to the %slicense page%s.","Licenza del modulo M2E Pro scaduta per il componente ""%s"". Vai su %slicense page%s."
"M2E Pro module is running under Trial License for ""%s"" component, that will expire on %s.","Il modulo M2E Pro è in esecuzione con licenza di valutazione per il componente ""%s"", che scadrà in data %s."
